iter	MAE
0	0.9892093178
5	0.9840669872
10	0.9791518973
15	0.9742400553
20	0.9695674044
25	0.9648101818
30	0.9598003469
35	0.9548433388
40	0.9499343159
45	0.9449973476
50	0.9400328016
55	0.9350599822
60	0.9300934138
65	0.9251387345
70	0.9201763946
75	0.9152334205
80	0.9102946137
85	0.9054090626
90	0.9005585658
95	0.8961394463
100	0.8921734599
105	0.8885054969
110	0.8850346229
115	0.881834256
120	0.8787716553
125	0.8760266889
130	0.8732903635
135	0.8707061448
140	0.8683152154
145	0.866486443
150	0.8648498569
155	0.8641031741
160	0.8629295265
165	0.8620477127
170	0.8612118005
175	0.8602810822
180	0.8593493221
185	0.8585862764
190	0.8576531067
195	0.8568073279
200	0.8559823855
205	0.8551562175
210	0.8543418773
215	0.8534892959
220	0.8526535676
225	0.8518547935
230	0.851062209
235	0.8502892354
240	0.8494601258
245	0.8487006959
250	0.8480091073
255	0.8472853446
260	0.8465431355
265	0.8458461539
270	0.8450751414
275	0.8444190974
280	0.8437171518
285	0.8430611079
290	0.8423973421
295	0.841694416
300	0.8409907545
305	0.8403781608
310	0.8397270195
315	0.8390949376
320	0.8384904333
325	0.8377990286
330	0.8371375303
335	0.8364673298
340	0.8357812567
345	0.8350618452
350	0.8344083139
355	0.8338523465
360	0.8332295184
365	0.8326242788
370	0.8320292123
375	0.8312870645
380	0.8306350653
385	0.8300133403
390	0.8293845064
395	0.8288489465
400	0.828351015
405	0.8277272676
410	0.8270611731
415	0.8263578792
420	0.8257761113
425	0.8251168193
430	0.8244195313
435	0.8237762957
440	0.823059642
445	0.822404885
450	0.8218084702
455	0.8212214932
460	0.8206044871
465	0.8199061572
470	0.8193623853
475	0.8187959997
480	0.818177155
485	0.8176725435
490	0.8170119646
495	0.816424865
500	0.8158988041
505	0.8153618348
510	0.814764133
515	0.8142636276
520	0.813700061
525	0.8131550634
530	0.8125530106
535	0.8119668915
540	0.8115244219
545	0.811048001
550	0.8105532562
555	0.8100304434
560	0.8094782143
565	0.8089881884
570	0.8085631234
575	0.8081777703
580	0.8077644718
585	0.8073491509
590	0.8069638592
595	0.806598117
600	0.8061976268
605	0.8057591406
610	0.8053753197
615	0.8050030814
620	0.8046302915
625	0.8042596466
630	0.8038720873
635	0.8035334938
640	0.8031698353
645	0.8027152927
650	0.8023607042
655	0.8019266917
660	0.8015838084
665	0.8012343677
670	0.8008587588
675	0.8004609038
680	0.8000862754
685	0.7996856014
690	0.799304477
695	0.7989253749
700	0.7985655159
705	0.7982391792
710	0.7978355023
715	0.7974952542
720	0.7971295732
725	0.7967930634
730	0.7964021948
735	0.7960606598
740	0.7957457832
745	0.7954244105
750	0.7951276739
755	0.7947865678
760	0.7944684432
765	0.7941441902
770	0.79382055
775	0.7935141919
780	0.7932045244
785	0.7928838871
790	0.7925961593
795	0.7922723353
800	0.79195084
805	0.7916605996
810	0.7913498903
815	0.7910529086
820	0.7907229562
825	0.790393923
830	0.7900544103
835	0.7897537516
840	0.7894424294
845	0.7891492473
850	0.7888523269
855	0.7885753238
860	0.7882905376
865	0.7879695939
870	0.7877004351
875	0.7874292539
880	0.7871581953
885	0.7868851143
890	0.7866105012
895	0.7863046946
900	0.7860365777
905	0.7857450502
910	0.7854351989
915	0.7851338661
920	0.7848802734
925	0.7845731798
930	0.7843265122
935	0.7840629915
940	0.7838057218
945	0.7835368081
950	0.7833066871
955	0.7830590389
960	0.7828282438
965	0.782573548
970	0.7822754632
975	0.7820082655
980	0.7817436417
985	0.7815216715
990	0.7812284281
995	0.7809622722
1000	0.7807058604
1005	0.7804328407
1010	0.7801479319
1015	0.7798995484
1020	0.7796588866
1025	0.7794226372
1030	0.7792035473
1035	0.778969259
1040	0.7787422022
1045	0.778539659
1050	0.7782874145
1055	0.7780660572
1060	0.7778563437
1065	0.7776518394
1070	0.7774335462
1075	0.7772319835
1080	0.7769731817
1085	0.7767442251
1090	0.7765475651
1095	0.7763326425
1100	0.776105647
1105	0.7758804288
1110	0.7756504916
1115	0.7754138746
1120	0.7752039773
1125	0.7749861744
1130	0.7747708228
1135	0.7745464012
1140	0.7743037783
1145	0.7740876914
1150	0.7738958728
1155	0.7737027673
1160	0.7734935441
1165	0.7732995806
1170	0.773081839
1175	0.77289382
1180	0.772708375
1185	0.7725293648
1190	0.7723190998
1195	0.7721062609
1200	0.7718811652
1205	0.7716720033
1210	0.7714462947
1215	0.7712557019
1220	0.7710715438
1225	0.7708867729
1230	0.7706725244
1235	0.7704906339
1240	0.7702886422
1245	0.7700948625
1250	0.7699165264
1255	0.7697150863
1260	0.7695338699
1265	0.7693226856
1270	0.7691380986
1275	0.7689338394
1280	0.7687341152
1285	0.7685430321
1290	0.7683586289
1295	0.768187034
1300	0.7679842456
1305	0.7678041323
1310	0.7676226094
1315	0.7674322004
1320	0.7672394626
1325	0.7670432929
1330	0.7668499422
1335	0.7666861304
1340	0.7665199285
1345	0.7663395088
1350	0.7661696911
1355	0.7659659222
1360	0.7657972077
1365	0.7656297801
1370	0.7654467865
1375	0.7652905739
1380	0.7651282941
1385	0.7649714687
1390	0.7647955226
1395	0.7646423742
1400	0.7644606675
1405	0.7642762643
1410	0.7641102463
1415	0.7639439218
1420	0.7637981275
1425	0.7636477368
1430	0.7634650496
1435	0.7633232999
1440	0.763173277
1445	0.7630017434
1450	0.76280349
1455	0.7626276053
1460	0.76245981
1465	0.7622864379
1470	0.7621012993
1475	0.7619556888
1480	0.7618083011
1485	0.7616572363
1490	0.7615037815
1495	0.7613436467
1500	0.7611839409
1505	0.761028525
1510	0.760874825
1515	0.7607212476
1520	0.7605060799
1525	0.7603520122
1530	0.7601994766
1535	0.7600473087
1540	0.7598931797
1545	0.7597262424
1550	0.759592092
1555	0.7594358181
1560	0.7593047319
1565	0.7591706428
1570	0.7590410886
1575	0.7588878176
1580	0.758736998
1585	0.7585880169
1590	0.7584059425
1595	0.7582732629
1600	0.7581276524
1605	0.7579590604
1610	0.7578057281
1615	0.7576585855
1620	0.7575263962
1625	0.7573730026
1630	0.7572403843
1635	0.7570794528
1640	0.7569414415
1645	0.7568146452
1650	0.7566950803
1655	0.7565463443
1660	0.756374872
1665	0.7562394959
1670	0.7561114739
1675	0.7559912349
1680	0.7558650514
1685	0.7557408903
1688	0.7556745811
