iter	Passed	Remaining
413	3375	10394
414	3382	10382
415	3390	10374
416	3397	10363
417	3406	10357
418	3413	10345
419	3421	10338
420	3428	10327
421	3436	10317
422	3444	10307
423	3452	10300
424	3460	10291
425	3468	10282
426	3476	10274
427	3484	10266
428	3494	10264
429	3504	10260
430	3511	10248
431	3519	10241
432	3526	10229
433	3536	10227
434	3543	10216
435	3553	10211
436	3559	10198
437	3572	10203
438	3581	10197
439	3589	10189
440	3598	10183
441	3607	10177
442	3615	10168
443	3623	10161
444	3630	10150
445	3639	10143
446	3648	10137
447	3657	10130
448	3664	10119
449	3672	10110
450	3680	10102
451	3688	10094
452	3695	10084
453	3704	10076
454	3712	10068
455	3720	10061
456	3728	10051
457	3737	10044
458	3743	10032
459	3752	10025
460	3759	10013
461	3768	10009
462	3775	9997
463	3782	9987
464	3790	9978
465	3799	9971
466	3807	9963
467	3815	9954
468	3823	9945
469	3831	9936
470	3839	9928
471	3847	9921
472	3856	9913
473	3863	9903
474	3871	9895
475	3880	9889
476	3889	9881
477	3896	9872
478	3904	9863
479	3912	9854
480	3921	9847
481	3929	9840
482	3938	9834
483	3946	9825
484	3955	9818
485	3964	9812
486	3972	9804
487	3979	9794
488	3987	9785
489	3996	9778
490	4004	9770
491	4011	9760
492	4019	9751
493	4026	9741
494	4034	9732
495	4041	9720
496	4051	9716
497	4058	9705
498	4066	9698
499	4073	9687
500	4083	9682
501	4090	9671
502	4097	9661
503	4106	9654
504	4113	9644
505	4121	9636
506	4130	9629
507	4138	9621
508	4146	9611
509	4153	9602
510	4162	9595
511	4170	9588
512	4178	9579
513	4187	9573
514	4197	9568
515	4205	9561
516	4213	9552
517	4221	9543
518	4229	9534
519	4238	9528
520	4248	9523
521	4255	9514
522	4263	9504
523	4271	9495
524	4279	9488
525	4287	9479
526	4294	9470
527	4302	9461
528	4310	9451
529	4318	9443
530	4326	9435
531	4334	9427
532	4342	9417
533	4350	9408
534	4357	9398
535	4367	9394
536	4374	9383
537	4382	9375
538	4389	9364
539	4398	9359
540	4405	9348
541	4414	9341
542	4420	9330
543	4428	9320
544	4436	9311
545	4444	9303
546	4452	9295
547	4459	9285
548	4467	9277
549	4476	9269
550	4484	9261
551	4491	9251
552	4498	9241
553	4506	9231
554	4513	9222
555	4520	9211
556	4530	9208
557	4539	9200
558	4547	9191
559	4553	9181
560	4563	9176
561	4571	9166
562	4579	9159
563	4587	9150
564	4597	9146
565	4604	9135
566	4613	9128
567	4619	9117
568	4628	9110
569	4634	9098
570	4644	9092
571	4651	9082
572	4658	9072
573	4666	9063
574	4674	9056
575	4682	9047
576	4689	9038
577	4697	9029
578	4705	9020
579	4712	9011
580	4719	9000
581	4729	8995
582	4736	8985
583	4744	8977
584	4751	8967
585	4761	8963
586	4768	8952
587	4777	8944
588	4783	8933
589	4793	8929
590	4800	8918
591	4808	8910
592	4816	8902
593	4824	8894
594	4832	8885
595	4841	8877
596	4849	8870
597	4857	8861
598	4864	8852
599	4873	8845
600	4881	8837
601	4889	8827
602	4897	8820
603	4905	8812
604	4914	8806
605	4922	8797
606	4930	8789
607	4938	8780
608	4946	8772
609	4954	8763
610	4963	8756
611	4970	8746
612	4978	8738
613	4985	8727
614	4994	8722
615	5001	8711
616	5009	8703
617	5016	8692
618	5023	8683
619	5031	8674
620	5039	8666
621	5047	8658
622	5054	8649
623	5061	8639
624	5068	8629
625	5078	8623
626	5084	8612
627	5093	8604
628	5099	8594
629	5108	8587
630	5115	8577
631	5123	8568
632	5131	8560
633	5138	8551
634	5146	8543
635	5155	8535
636	5163	8527
637	5170	8518
638	5179	8510
639	5188	8503
640	5197	8497
641	5204	8488
642	5213	8481
643	5221	8473
644	5230	8466
645	5239	8459
646	5247	8451
647	5255	8442
648	5263	8434
649	5272	8427
650	5280	8419
651	5288	8411
652	5296	8402
653	5304	8395
654	5312	8387
655	5320	8378
656	5328	8369
657	5335	8360
658	5342	8350
659	5349	8340
660	5359	8335
661	5366	8325
662	5374	8317
663	5381	8307
664	5391	8301
665	5398	8291
666	5405	8283
667	5412	8272
668	5420	8263
669	5428	8256
670	5436	8248
671	5444	8240
672	5452	8230
673	5459	8222
674	5466	8212
675	5476	8206
676	5482	8195
677	5491	8188
678	5500	8181
679	5511	8177
680	5518	8168
681	5526	8160
682	5534	8152
683	5543	8144
684	5551	8136
685	5560	8130
686	5568	8121
687	5576	8113
688	5584	8105
689	5593	8098
690	5601	8089
691	5609	8082
692	5617	8073
693	5625	8064
694	5631	8054
695	5641	8048
696	5647	8038
697	5656	8030
698	5662	8020
699	5672	8014
700	5679	8004
701	5686	7995
702	5694	7986
703	5702	7978
704	5710	7970
705	5718	7961
706	5725	7953
707	5732	7943
708	5740	7935
709	5747	7925
710	5757	7919
711	5764	7909
712	5773	7902
713	5779	7892
714	5789	7886
715	5796	7876
716	5804	7869
717	5811	7859
718	5818	7850
719	5827	7842
720	5835	7835
721	5844	7827
722	5854	7822
723	5861	7812
724	5871	7807
725	5878	7798
726	5888	7791
727	5895	7782
728	5906	7778
729	5914	7769
730	5922	7762
731	5929	7751
732	5938	7745
733	5945	7735
734	5955	7730
735	5962	7720
736	5970	7712
737	5977	7702
738	5987	7696
739	5994	7687
740	6003	7680
741	6010	7670
742	6017	7661
743	6025	7653
744	6033	7644
745	6041	7636
746	6048	7627
747	6056	7619
748	6063	7609
749	6073	7603
750	6080	7594
751	6088	7586
752	6096	7577
753	6105	7571
754	6112	7561
755	6121	7554
756	6128	7545
757	6137	7538
758	6144	7529
759	6156	7525
760	6163	7516
761	6172	7509
762	6179	7499
763	6190	7494
764	6197	7486
765	6205	7477
766	6213	7469
767	6221	7460
768	6227	7450
769	6238	7445
770	6244	7435
771	6253	7428
772	6260	7418
773	6269	7412
774	6276	7402
775	6285	7394
776	6291	7384
777	6301	7378
778	6308	7368
779	6315	7359
780	6323	7351
781	6330	7342
782	6338	7333
783	6344	7324
784	6354	7317
785	6361	7308
786	6369	7300
787	6376	7290
788	6386	7284
789	6392	7274
790	6401	7267
791	6408	7258
792	6416	7250
793	6423	7240
794	6431	7232
795	6439	7224
796	6446	7215
797	6454	7207
798	6463	7199
799	6473	7193
800	6481	7185
801	6489	7177
802	6498	7170
803	6507	7162
804	6517	7156
805	6524	7148
806	6534	7142
807	6548	7139
808	6568	7145
809	6576	7136
810	6586	7130
811	6594	7122
812	6603	7114
813	6610	7105
814	6618	7097
815	6625	7088
816	6634	7081
817	6642	7072
818	6650	7064
819	6657	7055
820	6666	7048
821	6673	7038
822	6680	7029
823	6688	7021
824	6696	7012
825	6704	7005
826	6711	6995
827	6720	6988
828	6726	6978
829	6735	6970
830	6742	6961
831	6751	6954
832	6758	6945
833	6766	6937
834	6773	6927
835	6782	6920
836	6789	6911
837	6798	6903
838	6806	6895
839	6816	6889
840	6823	6880
841	6833	6874
842	6841	6865
843	6850	6858
844	6857	6849
845	6867	6843
846	6874	6834
847	6883	6826
848	6890	6817
849	6899	6810
850	6907	6801
851	6915	6794
852	6922	6784
853	6929	6775
854	6936	6766
855	6944	6757
856	6953	6750
857	6960	6741
858	6968	6732
859	6974	6723
860	6984	6716
861	6990	6707
862	6999	6699
863	7005	6689
864	7014	6682
865	7021	6672
866	7030	6666
867	7037	6656
868	7044	6647
869	7053	6639
870	7061	6631
871	7069	6623
872	7076	6614
873	7085	6606
874	7092	6597
875	7101	6591
876	7109	6582
877	7117	6574
878	7124	6565
879	7132	6557
880	7139	6547
881	7149	6541
882	7156	6532
883	7164	6523
884	7170	6514
885	7179	6506
886	7186	6497
887	7193	6488
888	7201	6480
889	7208	6471
890	7215	6462
891	7222	6453
892	7232	6446
893	7239	6437
894	7247	6429
895	7255	6421
896	7266	6415
897	7273	6406
898	7281	6399
899	7288	6389
900	7298	6383
901	7305	6374
902	7313	6365
903	7320	6356
904	7327	6347
905	7335	6339
906	7342	6330
907	7351	6323
908	7358	6313
909	7366	6305
910	7373	6296
911	7382	6289
912	7389	6280
913	7397	6272
914	7404	6263
915	7412	6255
916	7419	6246
917	7428	6239
918	7435	6230
919	7442	6220
920	7450	6213
921	7459	6205
922	7467	6197
923	7474	6188
924	7482	6180
925	7489	6170
926	7498	6164
927	7505	6154
928	7514	6147
929	7521	6138
930	7529	6130
931	7537	6121
932	7547	6115
933	7554	6106
934	7562	6098
935	7569	6089
936	7579	6082
937	7586	6074
938	7595	6066
939	7602	6058
940	7611	6050
941	7618	6041
942	7628	6034
943	7635	6025
944	7643	6017
945	7650	6009
946	7660	6002
947	7667	5993
948	7674	5984
949	7682	5976
950	7689	5967
951	7698	5959
952	7705	5950
953	7713	5942
954	7720	5934
955	7729	5926
956	7736	5917
957	7745	5910
958	7752	5901
959	7760	5893
960	7768	5884
961	7777	5877
962	7784	5868
963	7792	5860
964	7799	5851
965	7806	5842
966	7814	5834
967	7820	5825
968	7830	5818
969	7837	5809
970	7845	5801
971	7852	5792
972	7861	5785
973	7868	5776
974	7876	5768
975	7883	5759
976	7893	5752
